#cosalfa	Acceptance
-9.182500000000000107e-01 0.000000000000000000e+00
-9.174999999999999822e-01 0.000000000000000000e+00
-9.167499999999999538e-01 0.000000000000000000e+00
-9.160000000000000364e-01 0.000000000000000000e+00
-9.152500000000000080e-01 0.000000000000000000e+00
-9.144999999999999796e-01 0.000000000000000000e+00
-9.137499999999999512e-01 0.000000000000000000e+00
-9.130000000000000338e-01 0.000000000000000000e+00
-9.122500000000000053e-01 0.000000000000000000e+00
-9.114999999999999769e-01 0.000000000000000000e+00
-9.107499999999999485e-01 0.000000000000000000e+00
-9.100000000000000311e-01 0.000000000000000000e+00
-9.092500000000000027e-01 0.000000000000000000e+00
-9.084999999999999742e-01 0.000000000000000000e+00
-9.077500000000000568e-01 0.000000000000000000e+00
-9.070000000000000284e-01 0.000000000000000000e+00
-9.062500000000000000e-01 0.000000000000000000e+00
-9.054999999999999716e-01 0.000000000000000000e+00
-9.047499999999999432e-01 0.000000000000000000e+00
-9.040000000000000258e-01 0.000000000000000000e+00
-9.032499999999999973e-01 0.000000000000000000e+00
-9.024999999999999689e-01 0.000000000000000000e+00
-9.017500000000000515e-01 0.000000000000000000e+00
-9.010000000000000231e-01 0.000000000000000000e+00
-9.002499999999999947e-01 0.000000000000000000e+00
-8.994999999999999662e-01 0.000000000000000000e+00
-8.987499999999999378e-01 0.000000000000000000e+00
-8.980000000000000204e-01 0.000000000000000000e+00
-8.972499999999999920e-01 0.000000000000000000e+00
-8.964999999999999636e-01 0.000000000000000000e+00
-8.957500000000000462e-01 0.000000000000000000e+00
-8.950000000000000178e-01 0.000000000000000000e+00
-8.942499999999999893e-01 0.000000000000000000e+00
-8.934999999999999609e-01 0.000000000000000000e+00
-8.927500000000000435e-01 0.000000000000000000e+00
-8.920000000000000151e-01 0.000000000000000000e+00
-8.912499999999999867e-01 0.000000000000000000e+00
-8.904999999999999583e-01 0.000000000000000000e+00
-8.897500000000000409e-01 0.000000000000000000e+00
-8.890000000000000124e-01 0.000000000000000000e+00
-8.882499999999999840e-01 0.000000000000000000e+00
-8.874999999999999556e-01 0.000000000000000000e+00
-8.867500000000000382e-01 0.000000000000000000e+00
-8.860000000000000098e-01 0.000000000000000000e+00
-8.852499999999999813e-01 0.000000000000000000e+00
-8.844999999999999529e-01 0.000000000000000000e+00
-8.837500000000000355e-01 0.000000000000000000e+00
-8.830000000000000071e-01 0.000000000000000000e+00
-8.822499999999999787e-01 0.000000000000000000e+00
-8.814999999999999503e-01 0.000000000000000000e+00
-8.807500000000000329e-01 0.000000000000000000e+00
-8.800000000000000044e-01 0.000000000000000000e+00
-8.792499999999999760e-01 0.000000000000000000e+00
-8.785000000000000586e-01 0.000000000000000000e+00
-8.777500000000000302e-01 0.000000000000000000e+00
-8.770000000000000018e-01 0.000000000000000000e+00
-8.762499999999999734e-01 0.000000000000000000e+00
-8.754999999999999449e-01 0.000000000000000000e+00
-8.747500000000000275e-01 0.000000000000000000e+00
-8.739999999999999991e-01 0.000000000000000000e+00
-8.732499999999999707e-01 0.000000000000000000e+00
-8.725000000000000533e-01 0.000000000000000000e+00
-8.717500000000000249e-01 0.000000000000000000e+00
-8.709999999999999964e-01 0.000000000000000000e+00
-8.702499999999999680e-01 0.000000000000000000e+00
-8.694999999999999396e-01 0.000000000000000000e+00
-8.687500000000000222e-01 0.000000000000000000e+00
-8.679999999999999938e-01 0.000000000000000000e+00
