# #lambda	lambda_abs
4.740399999999999636e+02 5.923314285714286598e+01
4.744700000000000273e+02 5.912871428571428112e+01
4.748999999999999773e+02 5.902428571428571757e+01
4.753299999999999841e+02 5.890100000000000335e+01
4.757599999999999909e+02 5.877200000000000557e+01
4.761899999999999977e+02 5.864300000000000068e+01
4.766200000000000045e+02 5.851399999999999579e+01
4.770499999999999545e+02 5.838500000000001222e+01
4.774800000000000182e+02 5.825599999999999312e+01
4.779099999999999682e+02 5.812700000000000955e+01
4.783400000000000318e+02 5.799799999999999045e+01
4.787699999999999818e+02 5.786900000000000688e+01
4.791999999999999886e+02 5.774000000000000199e+01
4.796299999999999955e+02 5.761100000000000421e+01
4.800600000000000023e+02 5.748199999999999932e+01
4.804900000000000091e+02 5.735299999999999443e+01
4.809199999999999591e+02 5.722400000000001086e+01
4.813500000000000227e+02 5.709499999999999176e+01
4.817799999999999727e+02 5.696600000000000819e+01
4.822100000000000364e+02 5.683699999999998909e+01
4.826399999999999864e+02 5.670800000000000551e+01
4.830699999999999932e+02 5.657900000000000063e+01
4.835000000000000000e+02 5.645000000000000284e+01
4.839300000000000068e+02 5.632099999999999795e+01
4.843600000000000136e+02 5.619200000000000017e+01
4.847899999999999636e+02 5.606300000000000949e+01
4.852200000000000273e+02 5.593399999999999039e+01
4.856499999999999773e+02 5.580500000000000682e+01
4.860799999999999841e+02 5.567600000000000904e+01
4.865099999999999909e+02 5.554700000000000415e+01
4.869399999999999977e+02 5.541799999999999926e+01
4.873700000000000045e+02 5.528900000000000148e+01
4.877999999999999545e+02 5.516000000000001791e+01
4.882300000000000182e+02 5.479681818181816055e+01
4.886599999999999682e+02 5.423000000000004661e+01
4.890900000000000318e+02 5.366318181818177635e+01
4.895199999999999818e+02 5.309636363636366241e+01
4.899499999999999886e+02 5.252954545454547031e+01
4.903799999999999955e+02 5.196272727272727820e+01
4.908100000000000023e+02 5.139590909090908610e+01
4.912400000000000091e+02 5.082909090909090111e+01
4.916699999999999591e+02 5.026227272727278006e+01
4.921000000000000227e+02 4.969545454545451690e+01
4.925299999999999727e+02 4.912863636363640296e+01
4.929600000000000364e+02 4.856181818181813270e+01
4.933899999999999864e+02 4.799500000000001876e+01
4.938199999999999932e+02 4.742818181818182666e+01
4.942500000000000000e+02 4.686136363636363455e+01
4.946800000000000068e+02 4.629454545454544956e+01
4.951100000000000136e+02 4.572772727272725746e+01
4.955399999999999636e+02 4.516090909090914352e+01
4.959700000000000273e+02 4.459409090909087325e+01
4.963999999999999773e+02 4.402727272727275931e+01
4.968299999999999841e+02 4.346045454545456721e+01
4.972599999999999909e+02 4.289363636363637511e+01
4.976899999999999977e+02 4.232681818181818301e+01
4.981200000000000045e+02 4.175999999999999801e+01
4.985499999999999545e+02 4.119318181818188407e+01
4.989800000000000182e+02 4.062636363636361381e+01
4.994099999999999682e+02 4.005954545454549987e+01
4.998400000000000318e+02 3.949272727272723671e+01
5.002699999999999818e+02 3.892590909090911566e+01
5.006999999999999886e+02 3.835909090909092356e+01
5.011299999999999955e+02 3.779227272727273146e+01
5.015600000000000023e+02 3.722545454545454646e+01
5.019900000000000091e+02 3.665863636363635436e+01
5.024199999999999591e+02 3.609181818181824042e+01
5.028500000000000227e+02 3.552499999999997726e+01
5.032799999999999727e+02 3.495818181818185622e+01
5.037100000000000364e+02 3.439136363636359306e+01
5.041399999999999864e+02 3.382454545454547201e+01
5.045699999999999932e+02 3.325772727272727991e+01
5.050000000000000000e+02 3.269090909090909491e+01
5.054300000000000068e+02 3.212409090909090281e+01
5.058600000000000136e+02 3.155727272727271071e+01
5.062899999999999636e+02 3.099045454545459677e+01
5.067200000000000273e+02 3.042363636363633006e+01
5.071499999999999773e+02 2.985681818181821612e+01
5.075799999999999841e+02 2.929000000000002402e+01
5.080099999999999909e+02 2.872318181818183191e+01
5.084399999999999977e+02 2.815636363636364337e+01
5.088700000000000045e+02 2.758954545454545126e+01
5.092999999999999545e+02 2.702272727272733377e+01
5.097300000000000182e+02 2.645590909090907061e+01
5.101599999999999682e+02 2.605490909090910279e+01
5.105900000000000318e+02 2.593372727272726408e+01
5.110199999999999818e+02 2.581254545454546090e+01
5.114499999999999886e+02 2.569136363636363996e+01
