# #lambda	QE(%)
3.879200000000000159e+02 2.609848000000000212e+01
3.883600000000000136e+02 2.611784000000000106e+01
3.888000000000000114e+02 2.613719999999999999e+01
3.892400000000000091e+02 2.615656000000000247e+01
3.896800000000000068e+02 2.617592000000000141e+01
3.901200000000000045e+02 2.619552000000000191e+01
3.905600000000000023e+02 2.621576000000000306e+01
3.910000000000000000e+02 2.623600000000000065e+01
3.914399999999999977e+02 2.625624000000000180e+01
3.918799999999999955e+02 2.627648000000000295e+01
3.923199999999999932e+02 2.629672000000000054e+01
3.927599999999999909e+02 2.631696000000000168e+01
3.931999999999999886e+02 2.633719999999999928e+01
3.936399999999999864e+02 2.635744000000000042e+01
3.940799999999999841e+02 2.637768000000000157e+01
3.945199999999999818e+02 2.639791999999999916e+01
3.949599999999999795e+02 2.641816000000000031e+01
3.953999999999999773e+02 2.640640000000000143e+01
3.958400000000000318e+02 2.639143999999999934e+01
3.962799999999999727e+02 2.637648000000000081e+01
3.967200000000000273e+02 2.636151999999999873e+01
3.971599999999999682e+02 2.634656000000000375e+01
3.976000000000000227e+02 2.633160000000000167e+01
3.980399999999999636e+02 2.631664000000000314e+01
3.984800000000000182e+02 2.630168000000000106e+01
3.989199999999999591e+02 2.628672000000000253e+01
3.993600000000000136e+02 2.627176000000000045e+01
3.998000000000000114e+02 2.625679999999999836e+01
4.002400000000000091e+02 2.623367999999999967e+01
4.006800000000000068e+02 2.620375999999999905e+01
4.011200000000000045e+02 2.617383999999999844e+01
4.015600000000000023e+02 2.614392000000000138e+01
4.020000000000000000e+02 2.611400000000000077e+01
4.024399999999999977e+02 2.608408000000000015e+01
4.028799999999999955e+02 2.605415999999999954e+01
4.033199999999999932e+02 2.602423999999999893e+01
4.037599999999999909e+02 2.599432000000000187e+01
4.041999999999999886e+02 2.596440000000000126e+01
4.046399999999999864e+02 2.593448000000000064e+01
4.050800000000000409e+02 2.590759999999999863e+01
4.055199999999999818e+02 2.589440000000000097e+01
4.059600000000000364e+02 2.588119999999999976e+01
4.063999999999999773e+02 2.586800000000000210e+01
4.068400000000000318e+02 2.585480000000000089e+01
4.072799999999999727e+02 2.584160000000000323e+01
4.077200000000000273e+02 2.582839999999999847e+01
4.081599999999999682e+02 2.581520000000000081e+01
4.086000000000000227e+02 2.580199999999999960e+01
4.090399999999999636e+02 2.578880000000000194e+01
4.094800000000000182e+02 2.577560000000000073e+01
4.099199999999999591e+02 2.576240000000000308e+01
4.103600000000000136e+02 2.573552000000000106e+01
4.108000000000000114e+02 2.570560000000000045e+01
4.112400000000000091e+02 2.567567999999999984e+01
4.116800000000000068e+02 2.564576000000000278e+01
4.121200000000000045e+02 2.561584000000000216e+01
4.125600000000000023e+02 2.558592000000000155e+01
4.130000000000000000e+02 2.555600000000000094e+01
4.134399999999999977e+02 2.552608000000000033e+01
4.138799999999999955e+02 2.549616000000000327e+01
4.143199999999999932e+02 2.546624000000000265e+01
4.147599999999999909e+02 2.543632000000000204e+01
4.151999999999999886e+02 2.541000000000000369e+01
4.156399999999999864e+02 2.538800000000000168e+01
4.160800000000000409e+02 2.536599999999999966e+01
4.165199999999999818e+02 2.534400000000000119e+01
4.169600000000000364e+02 2.532199999999999918e+01
4.173999999999999773e+02 2.530000000000000426e+01
4.178400000000000318e+02 2.527799999999999869e+01
4.182799999999999727e+02 2.525600000000000378e+01
4.187200000000000273e+02 2.523400000000000176e+01
4.191599999999999682e+02 2.521200000000000330e+01
4.196000000000000227e+02 2.519000000000000128e+01
4.200399999999999636e+02 2.516904000000000252e+01
4.204800000000000182e+02 2.515848000000000084e+01
4.209199999999999591e+02 2.514792000000000272e+01
4.213600000000000136e+02 2.513736000000000104e+01
4.218000000000000114e+02 2.512679999999999936e+01
4.222400000000000091e+02 2.511624000000000123e+01
4.226800000000000068e+02 2.510567999999999955e+01
4.231200000000000045e+02 2.509512000000000143e+01
4.235600000000000023e+02 2.508455999999999975e+01
4.240000000000000000e+02 2.507400000000000162e+01
4.244399999999999977e+02 2.506343999999999994e+01
4.248799999999999955e+02 2.505288000000000181e+01
4.253199999999999932e+02 2.503656000000000148e+01
4.257599999999999909e+02 2.501808000000000121e+01
4.261999999999999886e+02 2.499960000000000093e+01
4.266399999999999864e+02 2.498112000000000066e+01
4.270800000000000409e+02 2.496264000000000038e+01
4.275199999999999818e+02 2.494416000000000011e+01
4.279600000000000364e+02 2.492567999999999984e+01
4.283999999999999773e+02 2.490719999999999956e+01
4.288400000000000318e+02 2.488871999999999929e+01
4.292799999999999727e+02 2.487024000000000257e+01
4.297200000000000273e+02 2.485175999999999874e+01
4.301599999999999682e+02 2.482880000000000109e+01
4.306000000000000227e+02 2.479799999999999827e+01
4.310399999999999636e+02 2.476720000000000255e+01
4.314800000000000182e+02 2.473639999999999972e+01
4.319199999999999591e+02 2.470560000000000045e+01
4.323600000000000136e+02 2.467479999999999762e+01
4.328000000000000114e+02 2.464399999999999835e+01
4.332400000000000091e+02 2.461319999999999908e+01
4.336800000000000068e+02 2.458239999999999981e+01
4.341200000000000045e+02 2.455159999999999698e+01
4.345600000000000023e+02 2.452079999999999771e+01
4.350000000000000000e+02 2.448999999999999844e+01
4.354399999999999977e+02 2.445919999999999916e+01
4.358799999999999955e+02 2.442839999999999989e+01
4.363199999999999932e+02 2.439760000000000062e+01
4.367599999999999909e+02 2.436680000000000135e+01
